                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.64849,                0.41682,                0.83617,                0.72219,                0.86372,                0.80406,                 0.5431,                 1.1624,                0.86113,                0.99135,               0.006634,               0.006634,               0.006634
                     36,                0.62163,                0.40764,                0.82964,                0.68599,                0.83555,                0.80945,                0.53789,                 1.1046,                0.82743,                 1.0104,               0.006535,               0.006535,               0.006535
                     37,                0.59161,                0.38845,                0.82698,                0.74014,                0.66842,                 0.7353,                0.48011,                 1.1321,                0.95782,                0.99184,               0.006436,               0.006436,               0.006436
                     38,                0.59463,                0.38295,                0.82844,                0.72205,                0.74496,                0.74431,                0.52284,                 1.1748,                0.92907,                 1.0071,               0.006337,               0.006337,               0.006337
                     39,                 0.5796,                0.38385,                0.82695,                0.71319,                0.70989,                0.71216,                0.49113,                 1.1186,                  1.011,                0.99293,               0.006238,               0.006238,               0.006238
                     40,                0.53597,                0.36411,                0.82836,                0.61438,                0.75109,                0.69376,                 0.5002,                 1.0385,                 1.1208,                0.97166,               0.006139,               0.006139,               0.006139
                     41,                 0.5453,                0.36729,                0.82155,                0.64949,                0.77508,                  0.722,                0.49324,                 1.1116,                0.95716,                0.98953,                0.00604,                0.00604,                0.00604
                     42,                0.52126,                0.35541,                 0.8189,                0.72815,                0.71767,                0.73324,                0.48635,                 1.1309,                 1.0038,                0.98066,               0.005941,               0.005941,               0.005941
                     43,                0.50449,                0.35805,                0.82227,                 0.7628,                0.75774,                0.75192,                0.50839,                 1.1325,                0.96829,                 1.0038,               0.005842,               0.005842,               0.005842
                     44,                0.47421,                0.33842,                0.81437,                0.79418,                0.68122,                0.76346,                0.53637,                 1.1631,                 1.0102,                0.97577,               0.005743,               0.005743,               0.005743
                     45,                0.48155,                0.32633,                0.81515,                0.72795,                0.72854,                0.73893,                0.51431,                 1.1353,                0.98498,                0.97295,               0.005644,               0.005644,               0.005644
                     46,                0.49301,                0.33856,                0.81798,                0.73807,                0.75406,                0.75102,                0.50308,                 1.1506,                0.82775,                 1.0168,               0.005545,               0.005545,               0.005545
                     47,                0.47671,                0.33993,                0.81241,                0.69809,                 0.7092,                0.69794,                0.47209,                 1.1254,                0.95273,                0.98147,               0.005446,               0.005446,               0.005446
                     48,                0.44879,                0.32616,                0.81075,                0.69592,                0.74703,                0.68047,                0.47969,                 1.1012,                 1.0032,                0.99119,               0.005347,               0.005347,               0.005347
                     49,                0.45223,                0.32014,                0.81023,                0.76506,                0.69862,                0.70768,                0.50247,                 1.0532,                0.97224,                0.97413,               0.005248,               0.005248,               0.005248
                     50,                0.43568,                 0.3043,                0.80876,                0.80218,                0.79378,                0.76848,                0.54296,                 1.1019,                0.85817,                0.97047,               0.005149,               0.005149,               0.005149
                     51,                0.41821,                0.29322,                0.80712,                0.73052,                0.78713,                0.76905,                0.55069,                 1.1161,                0.85473,                0.97167,                0.00505,                0.00505,                0.00505
                     52,                0.40251,                0.29187,                0.80364,                0.77593,                0.71151,                0.76167,                 0.5377,                 1.0861,                0.89326,                0.97415,               0.004951,               0.004951,               0.004951
                     53,                0.39537,                0.28651,                0.80577,                0.70443,                0.77744,                0.78374,                0.54921,                 1.0873,                 0.8749,                0.98512,               0.004852,               0.004852,               0.004852
                     54,                 0.3731,                0.27989,                0.80726,                0.75459,                 0.7665,                0.80341,                0.55159,                 1.0569,                0.81316,                0.98575,               0.004753,               0.004753,               0.004753
