                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58831,                0.42687,                0.83199,                0.85373,                0.82508,                0.86381,                0.56335,                 1.2967,                0.80701,                0.99206,               0.006634,               0.006634,               0.006634
                     36,                0.59678,                0.42325,                0.82998,                0.73973,                0.74782,                  0.782,                0.52992,                 1.1157,                0.87789,                0.96599,               0.006535,               0.006535,               0.006535
                     37,                0.56891,                0.38625,                0.82841,                0.84745,                0.81518,                0.85386,                 0.5525,                 1.1931,                0.76438,                0.98392,               0.006436,               0.006436,               0.006436
                     38,                0.55602,                0.38202,                  0.825,                0.78673,                0.81818,                0.83952,                0.55872,                 1.1946,                0.88513,                0.98819,               0.006337,               0.006337,               0.006337
                     39,                 0.5416,                0.37686,                0.82518,                0.81477,                0.83749,                0.86767,                0.54032,                 1.1708,                0.72068,                 1.0059,               0.006238,               0.006238,               0.006238
                     40,                 0.5213,                0.36265,                0.81916,                0.84272,                0.77294,                0.84624,                0.55728,                 1.1798,                0.80084,                0.97935,               0.006139,               0.006139,               0.006139
                     41,                0.49859,                0.35501,                0.81747,                 0.9125,                0.77273,                0.84935,                0.55116,                 1.1688,                0.71008,                0.98615,                0.00604,                0.00604,                0.00604
                     42,                0.47309,                0.33605,                0.81709,                0.71955,                 0.7676,                0.77466,                0.50924,                 1.1378,                0.88191,                0.98662,               0.005941,               0.005941,               0.005941
                     43,                0.49833,                0.33789,                0.81867,                  0.822,                0.78139,                0.80033,                0.53656,                 1.1983,                0.84548,                0.97686,               0.005842,               0.005842,               0.005842
                     44,                 0.4652,                0.32916,                0.81099,                0.80778,                0.75356,                0.79622,                0.52201,                 1.1735,                0.85487,                0.98771,               0.005743,               0.005743,               0.005743
                     45,                0.45477,                0.32979,                0.81321,                0.68967,                0.82035,                0.78657,                0.52922,                 1.2238,                0.87162,                0.99296,               0.005644,               0.005644,               0.005644
                     46,                0.44305,                0.32151,                  0.812,                0.71563,                 0.8538,                0.81858,                0.54496,                 1.0819,                0.78265,                0.96943,               0.005545,               0.005545,               0.005545
                     47,                0.43141,                 0.3243,                0.80858,                0.73346,                0.81818,                0.78802,                0.52412,                 1.1757,                0.79947,                0.99579,               0.005446,               0.005446,               0.005446
                     48,                0.44828,                0.31445,                0.80732,                0.78858,                0.77879,                0.83663,                0.57082,                 1.0922,                 0.8307,                0.97299,               0.005347,               0.005347,               0.005347
                     49,                0.43405,                0.30591,                0.80899,                0.81342,                0.82118,                0.85365,                0.56796,                 1.1475,                0.78563,                0.96473,               0.005248,               0.005248,               0.005248
                     50,                0.40597,                0.29861,                0.80587,                0.78158,                0.81584,                0.84665,                0.56196,                  1.113,                0.80035,                0.98583,               0.005149,               0.005149,               0.005149
                     51,                  0.405,                0.29357,                0.80588,                0.90345,                0.84244,                0.89052,                0.61486,                 1.2703,                0.71326,                0.98682,                0.00505,                0.00505,                0.00505
                     52,                0.39835,                0.29868,                0.80338,                0.82857,                0.76902,                0.84799,                0.58645,                 1.0498,                0.77875,                  0.962,               0.004951,               0.004951,               0.004951
                     53,                0.38278,                0.28652,                0.80519,                0.81824,                0.78886,                0.82767,                0.57462,                 1.1879,                0.95102,                0.99023,               0.004852,               0.004852,               0.004852
                     54,                0.37117,                0.27401,                0.80673,                0.80969,                0.82035,                0.86262,                0.59092,                 1.0753,                 0.7796,                0.97684,               0.004753,               0.004753,               0.004753
                     55,                0.37104,                0.27822,                0.79955,                0.84043,                 0.8355,                0.83832,                0.57826,                 1.0815,                0.75436,                0.97723,               0.004654,               0.004654,               0.004654
                     56,                0.37235,                0.27713,                0.80121,                0.78813,                0.88131,                 0.8624,                0.58876,                 1.1941,                0.77762,                 0.9893,               0.004555,               0.004555,               0.004555
                     57,                0.36012,                0.27331,                0.80179,                0.78438,                0.79272,                0.81748,                0.55846,                   1.12,                0.75769,                0.95893,               0.004456,               0.004456,               0.004456
                     58,                0.34875,                0.26285,                0.80149,                 0.8391,                0.81169,                0.84664,                0.58378,                 1.1707,                0.85274,                0.97984,               0.004357,               0.004357,               0.004357
                     59,                 0.3268,                0.25145,                0.79768,                0.82787,                0.79581,                0.79312,                0.54487,                 1.1268,                0.91522,                0.97686,               0.004258,               0.004258,               0.004258
                     60,                0.32401,                0.24957,                0.79934,                0.84014,                 0.8355,                0.85781,                0.59938,                 1.2007,                0.81145,                 0.9801,               0.004159,               0.004159,               0.004159
                     61,                0.32042,                0.25119,                0.79349,                0.83803,                0.81134,                0.85804,                0.59212,                 1.1198,                0.74179,                 0.9744,                0.00406,                0.00406,                0.00406
                     62,                0.30762,                0.24296,                0.79333,                0.88367,                0.83487,                0.88389,                0.61163,                 1.0722,                  0.739,                0.96984,               0.003961,               0.003961,               0.003961
                     63,                0.30041,                0.23694,                0.79472,                0.87938,                0.85065,                0.89305,                0.61044,                 1.1848,                0.70643,                0.98128,               0.003862,               0.003862,               0.003862
                     64,                0.28911,                0.23409,                0.79301,                0.86686,                0.83023,                0.86502,                 0.6057,                 1.0662,                0.71936,                0.96239,               0.003763,               0.003763,               0.003763
                     65,                0.28983,                0.23442,                0.79496,                0.75658,                0.79654,                0.82447,                0.58048,                 1.1262,                 0.8052,                  0.966,               0.003664,               0.003664,               0.003664
                     66,                 0.2916,                0.22559,                0.79365,                0.80065,                0.84416,                0.84581,                0.58466,                 1.1533,                0.76242,                0.95707,               0.003565,               0.003565,               0.003565
                     67,                0.28415,                0.23021,                 0.7919,                0.87007,                0.81399,                 0.8585,                0.58084,                 1.1318,                0.67945,                0.97074,               0.003466,               0.003466,               0.003466
                     68,                0.27119,                0.21633,                0.79288,                0.85759,                0.85012,                0.89368,                0.62198,                 1.1197,                0.72385,                0.97772,               0.003367,               0.003367,               0.003367
                     69,                0.26479,                0.21781,                 0.7905,                0.86064,                0.80519,                 0.8578,                 0.5977,                 1.1753,                0.76681,                0.97986,               0.003268,               0.003268,               0.003268
                     70,                 0.2602,                0.21447,                0.79258,                0.83885,                0.79209,                0.86095,                0.60349,                 1.0613,                0.80231,                0.97517,               0.003169,               0.003169,               0.003169
                     71,                0.25292,                0.22012,                0.79141,                0.80715,                 0.8751,                0.86478,                0.60841,                 1.0827,                0.75445,                0.97545,                0.00307,                0.00307,                0.00307
                     72,                0.24634,                0.20423,                0.79269,                0.80333,                0.82897,                0.85433,                0.57919,                 1.1904,                0.77449,                0.99022,               0.002971,               0.002971,               0.002971
                     73,                0.24195,                0.20326,                0.78942,                 0.8351,                0.79478,                0.86808,                0.59154,                 1.1152,                0.75082,                0.97357,               0.002872,               0.002872,               0.002872
                     74,                0.23695,                0.19507,                0.78827,                0.85092,                0.80519,                0.87275,                0.59274,                 1.1518,                0.74527,                0.97917,               0.002773,               0.002773,               0.002773
                     75,                0.23014,                 0.1955,                0.79068,                0.78784,                0.84416,                0.87576,                0.61242,                 1.1105,                0.75204,                0.97433,               0.002674,               0.002674,               0.002674
                     76,                0.22097,                0.19059,                0.78756,                 0.8673,                0.83669,                0.86727,                0.60301,                 1.0625,                  0.723,                0.97509,               0.002575,               0.002575,               0.002575
                     77,                0.21821,                0.18702,                0.78868,                0.85276,                0.83449,                0.87605,                0.60702,                 1.0751,                0.74079,                0.97918,               0.002476,               0.002476,               0.002476
                     78,                0.20938,                0.18376,                0.78957,                0.86432,                0.82727,                0.86778,                0.58542,                 1.0995,                0.73552,                 0.9811,               0.002377,               0.002377,               0.002377
                     79,                0.20109,                0.18149,                0.78443,                0.85486,                0.83721,                0.87241,                0.60347,                 1.1374,                0.74403,                0.97828,               0.002278,               0.002278,               0.002278
                     80,                0.19847,                0.17674,                0.78541,                0.76834,                0.83031,                0.84228,                0.58966,                 1.1022,                0.79771,                0.97081,               0.002179,               0.002179,               0.002179
                     81,                0.19005,                 0.1748,                0.78446,                0.86972,                 0.7822,                0.84149,                0.57703,                 1.1351,                 0.8421,                0.97585,                0.00208,                0.00208,                0.00208
                     82,                0.19232,                0.17084,                0.78176,                0.84049,                0.79654,                0.82624,                0.56843,                 1.1322,                 0.9271,                0.98235,               0.001981,               0.001981,               0.001981
                     83,                0.18423,                 0.1704,                0.78135,                 0.8348,                0.85931,                0.87398,                0.59669,                 1.1248,                0.76134,                0.98764,               0.001882,               0.001882,               0.001882
                     84,                0.18214,                0.16793,                0.78482,                0.82559,                0.85931,                0.86655,                0.59412,                 1.0894,                0.74221,                  0.978,               0.001783,               0.001783,               0.001783
                     85,                0.17621,                0.16161,                0.78502,                0.85737,                0.84841,                0.87229,                0.59578,                 1.1009,                0.77044,                0.97851,               0.001684,               0.001684,               0.001684
                     86,                0.16941,                0.15527,                0.78283,                 0.8167,                0.84984,                0.85689,                0.59341,                 1.1287,                0.77002,                0.98517,               0.001585,               0.001585,               0.001585
                     87,                 0.1614,                0.15462,                0.78074,                0.88672,                0.79654,                 0.8555,                0.58927,                 1.1173,                    0.8,                0.98161,               0.001486,               0.001486,               0.001486
                     88,                0.15723,                0.15143,                0.78126,                0.84665,                0.83463,                0.85234,                0.59001,                 1.0948,                0.79661,                0.98289,               0.001387,               0.001387,               0.001387
                     89,                0.14587,                0.14612,                0.78077,                0.82912,                0.85469,                0.85352,                0.59182,                 1.1131,                0.79568,                0.98424,               0.001288,               0.001288,               0.001288
                     90,                0.14203,                0.14229,                0.78001,                0.82875,                 0.8301,                0.84694,                0.58798,                 1.1091,                0.81414,                0.98453,               0.001189,               0.001189,               0.001189
                     91,                0.13673,                0.14029,                0.78078,                0.83758,                0.82974,                0.85053,                0.58785,                 1.1102,                0.80338,                0.98459,                0.00109,                0.00109,                0.00109
                     92,                0.13467,                0.13711,                0.78096,                0.80837,                0.86504,                0.85871,                0.58678,                 1.0963,                0.79236,                0.98182,               0.000991,               0.000991,               0.000991
                     93,                0.12814,                0.13313,                 0.7805,                0.81316,                0.86375,                0.85857,                0.59608,                 1.0983,                0.80408,                 0.9795,               0.000892,               0.000892,               0.000892
                     94,                0.12027,                 0.1292,                0.78071,                0.82624,                0.85493,                0.85243,                 0.5931,                 1.1015,                0.80629,                0.98025,               0.000793,               0.000793,               0.000793
                     95,                0.11205,                0.12521,                0.77778,                0.83599,                0.85812,                0.85036,                0.59235,                 1.0909,                0.83131,                 0.9814,               0.000694,               0.000694,               0.000694
                     96,                0.11326,                0.12511,                0.77958,                0.83235,                0.85931,                 0.8582,                0.59299,                 1.0902,                0.84444,                 0.9806,               0.000595,               0.000595,               0.000595
                     97,                0.10928,                0.12142,                0.78164,                0.82574,                0.85931,                0.85829,                 0.6013,                 1.0946,                0.82257,                0.98137,               0.000496,               0.000496,               0.000496
                     98,                0.10298,                0.11551,                0.77768,                0.83151,                0.85931,                 0.8576,                0.59904,                 1.0896,                0.82919,                0.98161,               0.000397,               0.000397,               0.000397
