                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.58009,                0.41512,                0.82181,                0.80304,                0.74545,                0.77534,                0.53477,                 1.0353,                0.97203,                0.99071,               0.006634,               0.006634,               0.006634
                     36,                0.56908,                0.40392,                0.81775,                0.74086,                0.66471,                0.72972,                 0.5157,                 1.0189,                0.97817,                0.97004,               0.006535,               0.006535,               0.006535
                     37,                0.54425,                0.37619,                0.81871,                0.77004,                0.75464,                0.82489,                0.54704,                   1.28,                0.89485,                0.98323,               0.006436,               0.006436,               0.006436
                     38,                0.55388,                0.37457,                 0.8147,                 0.7269,                0.74242,                0.72251,                0.50106,                  1.172,                0.90455,                0.98571,               0.006337,               0.006337,               0.006337
                     39,                0.51687,                0.37334,                0.81468,                0.68383,                0.83054,                0.79753,                0.56974,                 1.0828,                0.82865,                0.96713,               0.006238,               0.006238,               0.006238
                     40,                0.51969,                0.36985,                0.81473,                0.74727,                0.69322,                0.76296,                0.53137,                 1.1665,                0.90756,                0.97482,               0.006139,               0.006139,               0.006139
                     41,                0.49205,                0.35196,                0.81048,                0.83839,                0.69697,                0.81078,                0.56702,                 1.1113,                0.89374,                0.97925,                0.00604,                0.00604,                0.00604
                     42,                0.47953,                0.34693,                 0.8094,                0.73497,                0.81517,                0.82631,                0.58173,                 1.1329,                0.84814,                0.98173,               0.005941,               0.005941,               0.005941
                     43,                0.46223,                0.32755,                0.81127,                0.83103,                 0.7879,                 0.8407,                0.60385,                 1.0993,                0.86366,                0.97889,               0.005842,               0.005842,               0.005842
                     44,                0.45811,                0.33058,                0.80335,                0.76555,                0.78612,                0.77205,                 0.5608,                 1.1219,                0.92829,                0.98168,               0.005743,               0.005743,               0.005743
                     45,                0.41792,                0.31948,                0.80353,                0.79528,                0.76547,                0.77415,                  0.529,                 1.1724,                0.93399,                0.98709,               0.005644,               0.005644,               0.005644
