                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.66041,                0.47829,                0.85059,                 0.7685,                0.75258,                0.76546,                0.45129,                 1.1779,                 0.9574,                 1.0195,               0.006634,               0.006634,               0.006634
                     36,                  0.607,                0.44648,                0.84498,                0.80256,                0.75598,                0.77076,                0.44398,                 1.2351,                0.94592,                 1.0138,               0.006535,               0.006535,               0.006535
                     37,                0.64761,                0.45608,                0.84404,                0.76066,                0.82035,                0.81204,                0.53191,                 1.1759,                0.95865,                 1.0218,               0.006436,               0.006436,               0.006436
                     38,                0.62457,                0.45367,                0.83876,                0.77992,                0.79388,                0.78658,                0.51101,                 1.1192,                0.87828,                 1.0374,               0.006337,               0.006337,               0.006337
                     39,                0.58551,                0.43558,                0.84213,                0.87766,                 0.7086,                0.79188,                0.50754,                 1.1812,                0.96679,                  1.072,               0.006238,               0.006238,               0.006238
                     40,                0.57826,                0.43963,                 0.8361,                0.84268,                0.73851,                0.79322,                0.49925,                 1.1179,                 1.3131,                 1.0319,               0.006139,               0.006139,               0.006139
                     41,                0.55581,                0.41267,                  0.834,                0.78091,                  0.803,                 0.8024,                 0.5014,                 1.1622,                0.82487,                 1.0303,                0.00604,                0.00604,                0.00604
                     42,                0.53614,                0.40501,                0.82965,                 0.8199,                0.76231,                0.79757,                0.49317,                  1.246,                0.81668,                 1.0452,               0.005941,               0.005941,               0.005941
                     43,                 0.5106,                0.39912,                 0.8274,                0.80202,                0.77573,                0.79132,                0.49344,                 1.0871,                0.91828,                 1.0248,               0.005842,               0.005842,               0.005842
                     44,                 0.5293,                0.38241,                0.82583,                0.76702,                0.79608,                0.80459,                0.50652,                 1.0913,                0.92133,                 1.0125,               0.005743,               0.005743,               0.005743
                     45,                0.50468,                0.38373,                0.82029,                0.75083,                0.68263,                0.74784,                0.47047,                 1.1173,                0.98344,                 1.0237,               0.005644,               0.005644,               0.005644
                     46,                0.52961,                 0.3823,                0.82513,                0.80102,                 0.7953,                0.79165,                0.49826,                 1.2086,                0.92767,                 1.0474,               0.005545,               0.005545,               0.005545
                     47,                0.49144,                0.38489,                0.82466,                0.83624,                0.71861,                0.75306,                0.47191,                 1.0673,                 1.0849,                   1.04,               0.005446,               0.005446,               0.005446
                     48,                0.48424,                0.36629,                0.81858,                0.81951,                0.75758,                0.79654,                0.50672,                 1.0977,                 1.3776,                 1.0261,               0.005347,               0.005347,               0.005347
                     49,                0.47738,                0.35672,                0.82024,                0.83476,                0.77801,                0.78426,                0.46564,                 1.1962,                 0.8698,                 1.0508,               0.005248,               0.005248,               0.005248
                     50,                0.46187,                0.34926,                0.81832,                0.72386,                0.81224,                0.80207,                0.50416,                 1.2017,                0.85659,                   1.04,               0.005149,               0.005149,               0.005149
                     51,                0.45039,                 0.3423,                0.81592,                0.84851,                  0.744,                0.78838,                 0.4838,                 1.2659,                0.86267,                 1.0543,                0.00505,                0.00505,                0.00505
                     52,                0.44634,                 0.3384,                0.81542,                0.79887,                0.78079,                0.78496,                0.49777,                 1.0662,                0.99367,                 1.0475,               0.004951,               0.004951,               0.004951
                     53,                0.42625,                0.33965,                0.81417,                0.69976,                0.80127,                0.79838,                0.49881,                 1.1464,                0.79535,                 1.0129,               0.004852,               0.004852,               0.004852
                     54,                0.41277,                0.32014,                0.81719,                0.81536,                0.74258,                0.78406,                0.49898,                 1.1691,                0.84151,                 1.0627,               0.004753,               0.004753,               0.004753
                     55,                0.41079,                0.32009,                 0.8124,                0.67729,                0.82034,                0.77526,                0.48519,                 1.1959,                0.85481,                 1.0258,               0.004654,               0.004654,               0.004654
                     56,                0.41068,                0.31238,                0.80981,                0.82563,                0.75108,                0.77974,                0.49843,                 1.1905,                0.90745,                 1.0183,               0.004555,               0.004555,               0.004555
                     57,                0.41705,                0.31969,                0.80963,                0.84835,                 0.7757,                0.76549,                0.47679,                 1.1964,                0.89925,                  1.033,               0.004456,               0.004456,               0.004456
                     58,                0.36722,                 0.3038,                0.81004,                 0.8607,                 0.7151,                 0.7835,                0.49718,                 1.2021,                0.86196,                 1.0424,               0.004357,               0.004357,               0.004357
                     59,                0.37768,                0.30509,                0.80932,                0.84271,                0.79004,                0.80801,                0.50191,                  1.173,                0.87432,                 1.0419,               0.004258,               0.004258,               0.004258
                     60,                0.36235,                0.29251,                0.81032,                0.86324,                0.76882,                0.83114,                0.52432,                 1.2146,                0.75252,                 1.0463,               0.004159,               0.004159,               0.004159
                     61,                0.35936,                0.28686,                0.80259,                0.79589,                0.78284,                0.81661,                0.53138,                 1.0855,                 0.9766,                 1.0457,                0.00406,                0.00406,                0.00406
                     62,                0.33916,                0.27618,                0.80283,                0.85033,                0.79447,                0.80545,                0.51829,                 1.1535,                0.78593,                 1.0544,               0.003961,               0.003961,               0.003961
                     63,                0.35946,                0.27897,                0.80213,                0.88815,                0.75582,                0.81317,                0.51794,                 1.2223,                0.84501,                  1.074,               0.003862,               0.003862,               0.003862
                     64,                0.33615,                0.27658,                 0.7989,                0.87327,                0.79112,                0.81773,                 0.5211,                 1.2118,                0.79629,                 1.0381,               0.003763,               0.003763,               0.003763
                     65,                 0.3212,                0.26632,                0.80393,                0.81925,                0.77277,                0.80929,                0.50215,                 1.1657,                0.83724,                 1.0457,               0.003664,               0.003664,               0.003664
                     66,                0.32715,                0.26909,                0.80024,                0.81128,                0.80433,                0.79182,                0.49746,                 1.2085,                0.86963,                 1.0445,               0.003565,               0.003565,               0.003565
                     67,                0.31064,                0.25937,                0.79899,                0.79068,                0.80846,                0.80371,                0.52003,                 1.1482,                0.82906,                 1.0429,               0.003466,               0.003466,               0.003466
