                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.61954,                0.41729,                0.82769,                0.80958,                0.76921,                0.80485,                0.56779,                 1.0676,                0.82104,                0.96188,               0.006634,               0.006634,               0.006634
                     36,                0.61611,                0.40981,                0.82523,                0.74357,                0.68609,                0.70998,                0.51641,                 1.1873,                 1.0614,                0.96695,               0.006535,               0.006535,               0.006535
                     37,                0.58478,                 0.4104,                0.82141,                0.83985,                0.68709,                0.74237,                0.55168,                 1.0702,                 1.2099,                0.93908,               0.006436,               0.006436,               0.006436
                     38,                0.56503,                0.39489,                0.82139,                0.82116,                0.74156,                0.78085,                0.57496,                 1.0692,                0.84313,                0.96597,               0.006337,               0.006337,               0.006337
                     39,                0.54849,                0.38631,                0.82161,                0.67328,                0.78907,                0.76093,                0.54688,                0.96664,                0.91456,                0.94729,               0.006238,               0.006238,               0.006238
                     40,                0.54147,                 0.3751,                0.81712,                0.82731,                0.75559,                0.78287,                0.56986,                 1.1373,                 1.0169,                0.95495,               0.006139,               0.006139,               0.006139
                     41,                 0.5122,                0.35599,                0.81652,                0.66863,                0.74462,                0.74512,                0.54521,                  1.191,                 1.1323,                0.94552,                0.00604,                0.00604,                0.00604
                     42,                0.49351,                0.35578,                0.81502,                0.72987,                0.72159,                0.71489,                0.51559,                 1.1974,                 1.2881,                0.96917,               0.005941,               0.005941,               0.005941
                     43,                0.50011,                0.34401,                0.81374,                 0.7625,                0.73859,                0.77254,                0.56859,                 1.1455,                 1.0942,                0.93694,               0.005842,               0.005842,               0.005842
                     44,                0.48887,                0.34246,                0.81043,                0.73592,                0.76623,                0.75872,                 0.5651,                 1.1378,                 1.0631,                0.93251,               0.005743,               0.005743,               0.005743
                     45,                0.46529,                0.34263,                0.80959,                0.80332,                0.73156,                0.79814,                0.58172,                 1.1908,                 1.1388,                0.94733,               0.005644,               0.005644,               0.005644
                     46,                0.45351,                0.32557,                0.80759,                0.74345,                0.71983,                0.72406,                0.52448,                 1.1589,                 1.4361,                0.94573,               0.005545,               0.005545,               0.005545
                     47,                0.44002,                0.32683,                0.80422,                0.76916,                0.72856,                0.74579,                0.54761,                 1.0635,                 1.0416,                0.95281,               0.005446,               0.005446,               0.005446
                     48,                0.42465,                0.31673,                0.80742,                 0.7355,                0.73626,                0.73128,                0.51714,                 1.0894,                  1.001,                0.95779,               0.005347,               0.005347,               0.005347
                     49,                0.42292,                 0.3086,                 0.8071,                0.72432,                 0.6779,                0.68014,                0.50952,                 1.0844,                 1.1883,                0.95101,               0.005248,               0.005248,               0.005248
                     50,                0.39933,                0.29794,                 0.8048,                0.75182,                0.73761,                0.72174,                0.52574,                 1.0135,                 1.1222,                0.96549,               0.005149,               0.005149,               0.005149
                     51,                0.40214,                0.29799,                0.80614,                0.63364,                0.74716,                0.71013,                0.51398,                 1.0251,                0.95061,                0.94392,                0.00505,                0.00505,                0.00505
                     52,                0.39596,                0.29714,                0.80269,                0.68236,                0.75585,                0.67221,                0.50682,                 1.0372,                 1.0968,                0.94017,               0.004951,               0.004951,               0.004951
                     53,                0.39437,                0.29241,                0.80368,                0.74232,                0.71686,                0.72871,                0.52965,                 1.1102,                 1.0561,                0.95415,               0.004852,               0.004852,               0.004852
